sample_id	genotype_id	phenotype	file_name	md5	URL
NA11894_PU1	NA11894	PU1	E-MTAB-3657.IP_11894_PU1_120521_2_sorted.bam	130331ae24a9073bde720e839d621c5e	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11894_PU1_120521_2_sorted.bam
NA11894_RPB2	NA11894	RPB2	E-MTAB-3657.IP_11894_RPB2_merge_sorted.bam	fb75fceff595da710fd2459e1592ad2a	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11894_RPB2_merge_sorted.bam
NA11918_H3K27ac	NA11918	H3K27ac	E-MTAB-3657.IP_11918_H3K27ac_120628_1_sorted.bam	e1b069d3402195520b508cac58f3f87c	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11918_H3K27ac_120628_1_sorted.bam
NA11918_H3K4me1	NA11918	H3K4me1	E-MTAB-3657.IP_11918_H3K4me1_merge_sorted.bam	863ad80fffe49f41bc21e743ef69145e	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11918_H3K4me1_merge_sorted.bam
NA11918_H3K4me3	NA11918	H3K4me3	E-MTAB-3657.IP_11918_H3K4me3_merge_sorted.bam	f4fa20e6a30039dc64ec3717e4564d18	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11918_H3K4me3_merge_sorted.bam
NA11918_PU1	NA11918	PU1	E-MTAB-3657.IP_11918_PU1_120521_3_sorted.bam	5fd1186e3c1e68c8cf3de783d7a09cb7	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11918_PU1_120521_3_sorted.bam
NA11918_RPB2	NA11918	RPB2	E-MTAB-3657.IP_11918_RPB2_merge_sorted.bam	4021fae16e9865c86ebd59d97cdb8c59	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11918_RPB2_merge_sorted.bam
NA11920_H3K27ac	NA11920	H3K27ac	E-MTAB-3657.IP_11920_H3K27ac_120628_2_sorted.bam	5ff7d09ae0d75bc6820b2529d98edeae	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11920_H3K27ac_120628_2_sorted.bam
NA11920_H3K4me1	NA11920	H3K4me1	E-MTAB-3657.IP_11920_H3K4me1_merge_sorted.bam	e1a279ac62bc3b467f688d658ac40b01	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11920_H3K4me1_merge_sorted.bam
NA11920_H3K4me3	NA11920	H3K4me3	E-MTAB-3657.IP_11920_H3K4me3_120605_2_sorted.bam	c77e8ce927fef5d61342249bef4428a6	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11920_H3K4me3_120605_2_sorted.bam
NA11920_PU1	NA11920	PU1	E-MTAB-3657.IP_11920_PU1_120605_4_sorted.bam	fd4dce3279f050a6671d4628aecb0072	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11920_PU1_120605_4_sorted.bam
NA11920_RPB2	NA11920	RPB2	E-MTAB-3657.IP_11920_RPB2_120515_8_sorted.bam	b6d935033a9772781c8f65cf062c6d3c	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11920_RPB2_120515_8_sorted.bam
NA11931_H3K27ac	NA11931	H3K27ac	E-MTAB-3657.IP_11931_H3K27ac_120628_2_sorted.bam	aa9ad39a3339b34ad30f31e055187dea	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11931_H3K27ac_120628_2_sorted.bam
NA11931_H3K4me1	NA11931	H3K4me1	E-MTAB-3657.IP_11931_H3K4me1_merge_sorted.bam	6b1404a93fa734cb0880921ac251878b	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11931_H3K4me1_merge_sorted.bam
NA11931_H3K4me3	NA11931	H3K4me3	E-MTAB-3657.IP_11931_H3K4me3_120605_7_sorted.bam	765bf349970ee6a495f4c0ebc7207bf3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11931_H3K4me3_120605_7_sorted.bam
NA11931_PU1	NA11931	PU1	E-MTAB-3657.IP_11931_PU1_120605_8_sorted.bam	3f241f69b1269256d9ccfc1be06a47bd	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11931_PU1_120605_8_sorted.bam
NA11931_RPB2	NA11931	RPB2	E-MTAB-3657.IP_11931_RPB2_merge_sorted.bam	3ecfc9d2149898458b77a91a6bdff3b7	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11931_RPB2_merge_sorted.bam
NA11992_H3K27ac	NA11992	H3K27ac	E-MTAB-3657.IP_11992_H3K27ac_120628_2_sorted.bam	087a97e6a5a07fefd27a00e02be5f5f6	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11992_H3K27ac_120628_2_sorted.bam
NA11992_H3K4me1	NA11992	H3K4me1	E-MTAB-3657.IP_11992_H3K4me1_merge_sorted.bam	33456424bdc7dcf3fc1a57d38d9391a1	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11992_H3K4me1_merge_sorted.bam
NA11992_H3K4me3	NA11992	H3K4me3	E-MTAB-3657.IP_11992_H3K4me3_120521_6_sorted.bam	bb15bc24f477b2852f08d720e045eae2	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11992_H3K4me3_120521_6_sorted.bam
NA11992_PU1	NA11992	PU1	E-MTAB-3657.IP_11992_PU1_120612_1_sorted.bam	a070d620c8f79ba6fe5ef3a7e0591c9e	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11992_PU1_120612_1_sorted.bam
NA11992_RPB2	NA11992	RPB2	E-MTAB-3657.IP_11992_RPB2_merge_sorted.bam	4962dcc0615648461626d4ef518e2be7	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11992_RPB2_merge_sorted.bam
NA11993_H3K27ac	NA11993	H3K27ac	E-MTAB-3657.IP_11993_H3K27ac_120628_2_sorted.bam	905fe54bcf182634f59e341a18186227	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11993_H3K27ac_120628_2_sorted.bam
NA11993_H3K4me1	NA11993	H3K4me1	E-MTAB-3657.IP_11993_H3K4me1_merge_sorted.bam	257930e4439f0a0b9e3208b55cdb7e3c	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11993_H3K4me1_merge_sorted.bam
NA11993_H3K4me3	NA11993	H3K4me3	E-MTAB-3657.IP_11993_H3K4me3_merge_sorted.bam	2a1554989adbd2dd248a44bbda081237	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11993_H3K4me3_merge_sorted.bam
NA11993_PU1	NA11993	PU1	E-MTAB-3657.IP_11993_PU1_120521_5_sorted.bam	7b078dfc624e79b1570ebaff2a56f2d2	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11993_PU1_120521_5_sorted.bam
NA11993_RPB2	NA11993	RPB2	E-MTAB-3657.IP_11993_RPB2_120726_1_sorted.bam	9cc6fe67230669d5acc1f8acee3e00ec	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11993_RPB2_120726_1_sorted.bam
NA11994_H3K27ac	NA11994	H3K27ac	E-MTAB-3657.IP_11994_H3K27ac_120628_3_sorted.bam	5c29071e9e530ec70b616d803f076292	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11994_H3K27ac_120628_3_sorted.bam
NA11994_H3K4me1	NA11994	H3K4me1	E-MTAB-3657.IP_11994_H3K4me1_merge_sorted.bam	c51762278c19801af91545f81d197047	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11994_H3K4me1_merge_sorted.bam
NA11994_H3K4me3	NA11994	H3K4me3	E-MTAB-3657.IP_11994_H3K4me3_120605_5_sorted.bam	166a80ce70ad3ff3f9cba64dc90bee99	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11994_H3K4me3_120605_5_sorted.bam
NA11994_PU1	NA11994	PU1	E-MTAB-3657.IP_11994_PU1_120605_7_sorted.bam	653a930591138d858c5e1160ac522323	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11994_PU1_120605_7_sorted.bam
NA11994_RPB2	NA11994	RPB2	E-MTAB-3657.IP_11994_RPB2_merge_sorted.bam	f702bb123adfe34a85c473b970bd82e0	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_11994_RPB2_merge_sorted.bam
