study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	library_layout	fastq_ftp
PRJEB1350	ERP002168	SAMEA1706519	ERS037324	ERX200506	ERR225846	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225846/ERR225846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225846/ERR225846_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706520	ERS037325	ERX200507	ERR225847	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225847/ERR225847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225847/ERR225847_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706523	ERS037330	ERX200508	ERR225848	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225848/ERR225848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225848/ERR225848_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706524	ERS037338	ERX200509	ERR225849	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225849/ERR225849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225849/ERR225849_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706531	ERS037335	ERX200510	ERR225850	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225850/ERR225850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225850/ERR225850_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706533	ERS037336	ERX200511	ERR225851	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225851/ERR225851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225851/ERR225851_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706525	ERS037340	ERX200512	ERR225852	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225852/ERR225852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225852/ERR225852_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706529	ERS037341	ERX200513	ERR225853	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225853/ERR225853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225853/ERR225853_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706534	ERS037342	ERX200514	ERR225854	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225854/ERR225854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225854/ERR225854_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706532	ERS037343	ERX200515	ERR225855	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225855/ERR225855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225855/ERR225855_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706499	ERS037299	ERX200516	ERR225856	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225856/ERR225856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225856/ERR225856_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706502	ERS037302	ERX200517	ERR225857	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225857/ERR225857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225857/ERR225857_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706507	ERS037307	ERX200518	ERR225858	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225858/ERR225858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225858/ERR225858_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706510	ERS037310	ERX200519	ERR225859	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225859/ERR225859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225859/ERR225859_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706512	ERS037312	ERX200520	ERR225860	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225860/ERR225860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225860/ERR225860_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706518	ERS037317	ERX200521	ERR225861	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225861/ERR225861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225861/ERR225861_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706517	ERS037320	ERX200522	ERR225862	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225862/ERR225862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225862/ERR225862_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706530	ERS037331	ERX200524	ERR225864	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225864/ERR225864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225864/ERR225864_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706526	ERS037333	ERX200525	ERR225865	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225865/ERR225865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225865/ERR225865_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706528	ERS037345	ERX200526	ERR225866	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225866/ERR225866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225866/ERR225866_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706535	ERS037346	ERX200527	ERR225867	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225867/ERR225867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225867/ERR225867_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706493	ERS037292	ERX200528	ERR225868	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225868/ERR225868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225868/ERR225868_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706508	ERS037308	ERX200529	ERR225869	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225869/ERR225869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225869/ERR225869_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706513	ERS037313	ERX200530	ERR225870	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225870/ERR225870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225870/ERR225870_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706515	ERS037314	ERX200531	ERR225871	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225871/ERR225871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225871/ERR225871_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706490	ERS037288	ERX200532	ERR225872	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225872/ERR225872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225872/ERR225872_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706492	ERS037291	ERX200534	ERR225874	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225874/ERR225874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225874/ERR225874_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706494	ERS037293	ERX200535	ERR225875	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225875/ERR225875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225875/ERR225875_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706525	ERS037340	ERX200536	ERR225876	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225876/ERR225876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225876/ERR225876_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706529	ERS037341	ERX200537	ERR225877	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225877/ERR225877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225877/ERR225877_2.fastq.gz
